h3_8,max_cp_prob,bocpd_cp_year,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022,p_2023,p_2024,has_bocpd_cp
8849958511fffff,0.15000000000000008,2021,0.15,0.15000000000000002,0.14999999999999997,0.15,0.15,0.15000000000000008,0.15,0.15,0.15000000000000002,False
8849958513fffff,0.15000000000000008,2017,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000002,False
8849958515fffff,0.15000000000000002,2018,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15,0.14999999999999997,0.15000000000000002,0.15,0.15,False
8849958517fffff,0.15000000000000008,2024,0.15,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000008,False
8849958519fffff,0.15000000000000008,2019,0.15,0.15,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000008,0.15,0.15,0.15000000000000008,False
884995851bfffff,0.15000000000000002,2019,0.15,0.14999999999999997,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,0.15,False
884995851dfffff,0.15000000000000008,2021,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,False
8849958521fffff,0.15000000000000008,2018,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000008,False
8849958523fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000008,0.15,False
8849958525fffff,0.15000000000000008,2023,0.15,0.14999999999999994,0.15,0.15000000000000002,0.14999999999999997,0.15,0.15000000000000002,0.15000000000000008,0.15,False
8849958527fffff,0.15000000000000008,2017,0.14999999999999997,0.15000000000000008,0.14999999999999994,0.15,0.15,0.15000000000000002,0.14999999999999994,0.15000000000000002,0.15000000000000002,False
8849958529fffff,0.15000000000000008,2019,0.15,0.14999999999999997,0.15,0.15000000000000008,0.15,0.15,0.15000000000000008,0.15,0.15000000000000002,False
884995852bfffff,0.15000000000000008,2023,0.15,0.14999999999999997,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000008,0.15,False
884995852dfffff,0.15000000000000002,2016,0.15000000000000002,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,False
8849958531fffff,0.15000000000000008,2020,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000002,0.15,0.15,False
8849958533fffff,0.15000000000000002,2019,0.15,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,False
8849958535fffff,0.15000000000000002,2022,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,False
8849958537fffff,0.15000000000000008,2016,0.15000000000000008,0.15,,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000008,0.15,0.15000000000000002,False
8849958539fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000002,,,,0.15000000000000008,False
884995853bfffff,0.15000000000000008,2018,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15,False
884995853dfffff,0.15000000000000013,2023,0.14999999999999997,0.14999999999999994,0.15,0.15,0.15000000000000002,0.15,,0.15000000000000013,,False
8849958549fffff,0.15000000000000008,2020,0.14999999999999997,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000008,0.14999999999999997,0.15000000000000008,False
884995854bfffff,0.15000000000000008,2019,,0.15000000000000002,0.15,0.15000000000000008,0.15000000000000002,0.15,0.14999999999999997,0.14999999999999994,,False
884995854dfffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,,,False
8849958551fffff,0.15000000000000008,2024,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,False
8849958553fffff,0.15000000000000008,2022,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15000000000000008,0.15,False
8849958555fffff,0.15000000000000008,2023,0.15,0.15000000000000002,0.15000000000000002,0.14999999999999994,0.15,,,0.15000000000000008,0.15000000000000002,False
8849958557fffff,0.15000000000000002,2016,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,False
8849958559fffff,0.15000000000000008,2020,0.15,0.14999999999999997,0.15,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000002,0.15,False
884995855bfffff,0.15000000000000008,2021,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,False
884995855dfffff,0.15000000000000008,2021,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15,,False
8849958565fffff,0.15000000000000002,2017,,0.15000000000000002,0.15,,0.15,0.15,0.15,0.15000000000000002,,False
8849958567fffff,0.15000000000000008,2023,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000008,0.15000000000000008,False
8849958581fffff,0.15000000000000008,2017,0.15000000000000002,0.15000000000000008,0.15,0.15,0.15000000000000008,0.14999999999999997,0.15000000000000002,0.15,0.15000000000000008,False
8849958583fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,False
8849958585fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,0.15,False
8849958587fffff,0.15000000000000008,2024,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,False
8849958589fffff,0.15000000000000002,2023,0.15,0.15,0.15,0.15,0.15,0.14999999999999997,0.15,0.15000000000000002,0.15000000000000002,False
884995858bfffff,0.15000000000000008,2024,0.14999999999999997,0.15,0.14999999999999997,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,False
884995858dfffff,0.15000000000000008,2023,0.15,0.15,0.15000000000000002,0.14999999999999997,0.15,0.15,0.15,0.15000000000000008,0.15000000000000002,False
8849958591fffff,0.15000000000000008,2019,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000008,0.15,0.15,0.15,False
8849958593fffff,0.15000000000000002,2019,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,False
8849958595fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15,0.15,False
