h3_8,n_años,tipo,n_changepoints,changepoints
884995b34dfffff,9,fluctuante,0,
884995b351fffff,3,monotónica,0,
884995b355fffff,3,monotónica,0,
884995b361fffff,9,fluctuante,0,
884995b363fffff,7,fragmentada,0,
884995b365fffff,3,estable,0,
884995b367fffff,8,fragmentada,0,
884995b369fffff,9,fragmentada,0,
884995b36bfffff,9,fluctuante,0,
884995b36dfffff,9,fragmentada,0,
884995b801fffff,9,fragmentada,0,
884995b803fffff,9,fragmentada,0,
884995b805fffff,9,fragmentada,0,
884995b807fffff,9,fluctuante,0,
884995b809fffff,9,estable,0,
884995b80bfffff,9,fragmentada,0,
884995b80dfffff,9,fluctuante,0,
884995b811fffff,9,fragmentada,0,
884995b815fffff,9,fragmentada,0,
884995b817fffff,8,fluctuante,0,
884995b819fffff,9,fragmentada,0,
884995b81bfffff,9,fluctuante,0,
884995b81dfffff,9,fragmentada,0,
884995b821fffff,9,fragmentada,0,
884995b823fffff,9,fluctuante,0,
884995b825fffff,9,fragmentada,0,
884995b827fffff,9,fragmentada,0,
884995b829fffff,9,monotónica,0,
884995b82bfffff,9,fragmentada,0,
884995b82dfffff,9,fragmentada,0,
884995b831fffff,9,fluctuante,0,
884995b833fffff,9,fragmentada,0,
884995b835fffff,9,monotónica,0,
884995b837fffff,9,fragmentada,0,
884995b839fffff,9,fragmentada,0,
884995b83bfffff,9,fragmentada,0,
884995b83dfffff,9,monotónica,0,
884995b841fffff,9,estable,0,
884995b843fffff,9,estable,1,2020
884995b845fffff,9,fragmentada,1,2019
884995b847fffff,9,fluctuante,0,
884995b849fffff,9,estable,0,
884995b84bfffff,9,fragmentada,0,
884995b84dfffff,9,fluctuante,0,
884995b851fffff,9,fluctuante,0,
884995b853fffff,9,fragmentada,0,
884995b855fffff,9,estable,0,
884995b857fffff,9,fragmentada,0,
884995b859fffff,9,fragmentada,0,
884995b85bfffff,9,fragmentada,0,
884995b85dfffff,9,fluctuante,0,
884995b861fffff,9,fluctuante,0,
884995b863fffff,9,fluctuante,0,
884995b865fffff,9,fragmentada,0,
884995b867fffff,9,fragmentada,0,
884995b869fffff,9,monotónica,0,
884995b86bfffff,9,fluctuante,0,
884995b86dfffff,9,fluctuante,0,
884995b889fffff,9,fluctuante,0,
884995b88dfffff,9,fragmentada,0,
884995b899fffff,9,fluctuante,0,
884995b89dfffff,3,monotónica,0,
884995b8a1fffff,9,fluctuante,0,
884995b8a3fffff,9,fragmentada,0,
884995b8a5fffff,6,fragmentada,0,
884995b8a7fffff,9,fragmentada,0,
884995b8a9fffff,4,monotónica,0,
884995b8abfffff,8,fragmentada,0,
884995b8adfffff,8,fragmentada,0,
884995b8bdfffff,9,fluctuante,0,
884995b8c1fffff,9,fragmentada,0,
884995b8c3fffff,9,fragmentada,0,
884995b8c5fffff,7,fragmentada,0,
884995b8c7fffff,9,fragmentada,0,
884995b8c9fffff,9,fragmentada,0,
884995b8cbfffff,9,fragmentada,0,
884995b8cdfffff,9,fragmentada,0,
884995b8d1fffff,9,fragmentada,0,
884995b8d3fffff,9,fluctuante,0,
884995b8d5fffff,9,fragmentada,0,
884995b8d7fffff,9,fluctuante,0,
884995b8d9fffff,9,fragmentada,0,
884995b8dbfffff,8,fluctuante,0,
884995b8ddfffff,9,fragmentada,0,
884995b8e1fffff,3,monotónica,0,
884995b8e5fffff,9,fluctuante,0,
884995b8e7fffff,9,fluctuante,0,
884995b8e9fffff,6,monotónica,0,
884995b8ebfffff,8,fragmentada,0,
884995b8edfffff,9,fluctuante,0,
884995b903fffff,9,fragmentada,0,
884995b905fffff,6,fluctuante,0,
884995b907fffff,9,fragmentada,0,
884995b909fffff,9,fluctuante,0,
884995b90bfffff,8,fluctuante,0,
884995b90dfffff,9,fragmentada,0,
884995b911fffff,9,fluctuante,0,
884995b913fffff,9,fragmentada,0,
884995b915fffff,9,fragmentada,0,
884995b917fffff,9,fluctuante,0,
884995b919fffff,9,fragmentada,0,
884995b91bfffff,9,fragmentada,0,
884995b91dfffff,9,fragmentada,0,
884995b929fffff,9,fragmentada,0,
884995b92bfffff,9,fragmentada,0,
884995b931fffff,9,fragmentada,0,
884995b933fffff,9,fragmentada,0,
884995b935fffff,7,monotónica,0,
884995b937fffff,9,fluctuante,0,
884995b939fffff,9,fragmentada,0,
884995b93bfffff,9,fragmentada,0,
884995b93dfffff,9,fluctuante,0,
884995b941fffff,9,fluctuante,0,
884995b943fffff,9,estable,0,
884995b947fffff,8,fragmentada,0,
884995b94bfffff,9,fragmentada,0,
884995b951fffff,9,fluctuante,0,
884995b953fffff,9,fragmentada,0,
884995b955fffff,9,fragmentada,0,
884995b957fffff,9,fragmentada,0,
884995b959fffff,9,fragmentada,0,
884995b95bfffff,9,fragmentada,0,
884995b95dfffff,9,fragmentada,0,
884995b961fffff,8,fragmentada,0,
884995b963fffff,9,fluctuante,0,
884995b967fffff,8,monotónica,0,
884995b96bfffff,9,fragmentada,0,
884995b989fffff,9,fluctuante,0,
884995b98bfffff,7,fluctuante,0,
884995b98dfffff,6,fluctuante,0,
884995b991fffff,5,fluctuante,0,
884995b993fffff,9,fluctuante,0,
884995b999fffff,9,fluctuante,0,
884995b99bfffff,9,fragmentada,0,
884995b99dfffff,9,fluctuante,0,
884995b9c1fffff,9,fragmentada,0,
884995b9c3fffff,9,fluctuante,0,
884995b9c5fffff,9,fluctuante,0,
884995b9c7fffff,9,fragmentada,0,
884995b9c9fffff,9,fluctuante,0,
884995b9cbfffff,9,fluctuante,0,
884995b9cdfffff,9,fluctuante,0,
884995b9d1fffff,4,fluctuante,0,
884995b9d3fffff,9,fragmentada,0,
884995b9d5fffff,9,fragmentada,0,
884995b9d7fffff,9,fragmentada,0,
884995b9d9fffff,7,fragmentada,0,
884995b9dbfffff,9,monotónica,0,
884995b9ddfffff,9,fluctuante,0,
884995b9e1fffff,9,fluctuante,0,
884995b9e3fffff,9,fragmentada,0,
884995b9e5fffff,9,fragmentada,0,
884995b9e7fffff,9,fragmentada,0,
884995b9e9fffff,9,fluctuante,0,
884995b9ebfffff,9,fluctuante,0,
884995b9edfffff,9,fragmentada,0,
884995ba01fffff,9,fragmentada,0,
884995ba03fffff,9,fragmentada,0,
884995ba05fffff,9,fragmentada,0,
884995ba07fffff,9,fluctuante,0,
884995ba09fffff,9,fragmentada,0,
884995ba0bfffff,9,fragmentada,0,
884995ba0dfffff,9,fragmentada,0,
884995ba11fffff,9,fluctuante,0,
884995ba15fffff,9,fragmentada,0,
884995ba19fffff,9,fragmentada,0,
884995ba1dfffff,9,fluctuante,0,
884995ba21fffff,9,fluctuante,0,
884995ba23fffff,9,fluctuante,0,
884995ba25fffff,9,fluctuante,0,
884995ba27fffff,9,fluctuante,0,
884995ba29fffff,9,fragmentada,0,
884995ba2bfffff,9,estable,0,
884995ba2dfffff,9,fragmentada,0,
884995ba31fffff,9,fluctuante,0,
884995ba33fffff,9,fluctuante,0,
884995ba35fffff,9,fluctuante,0,
884995ba37fffff,9,fluctuante,0,
884995ba39fffff,9,fragmentada,0,
884995ba3bfffff,9,fragmentada,0,
884995ba3dfffff,9,fragmentada,1,2022
884995ba41fffff,9,fragmentada,0,
884995ba43fffff,9,fragmentada,0,
884995ba45fffff,9,fragmentada,0,
884995ba47fffff,9,fragmentada,0,
884995ba49fffff,9,fragmentada,0,
884995ba4bfffff,9,fluctuante,0,
884995ba4dfffff,9,fluctuante,0,
884995ba51fffff,9,fragmentada,0,
884995ba53fffff,9,fluctuante,0,
884995ba55fffff,9,fragmentada,0,
884995ba57fffff,9,estable,0,
884995ba59fffff,9,fluctuante,0,
884995ba5bfffff,9,fragmentada,0,
884995ba5dfffff,9,fragmentada,0,
884995ba61fffff,9,fragmentada,0,
884995ba63fffff,9,fluctuante,0,
884995ba65fffff,9,fragmentada,0,
884995ba67fffff,9,fragmentada,0,
884995ba69fffff,9,fluctuante,0,
884995ba6bfffff,9,fragmentada,0,
884995ba6dfffff,9,fragmentada,0,
884995ba81fffff,9,fragmentada,0,
884995ba83fffff,9,fragmentada,0,
884995ba85fffff,9,fragmentada,0,
884995ba87fffff,9,fluctuante,0,
884995ba89fffff,9,fluctuante,0,
884995ba8bfffff,9,fragmentada,0,
884995ba8dfffff,9,fragmentada,0,
884995baa1fffff,9,monotónica,0,
884995baa3fffff,9,fragmentada,0,
