h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16
88499580b7fffff,2022,0.28987986,-1.3749553,-1.3613089,1.4469311,0.0016016435,1.1550612,-2.2411053,-1.1303489,-0.42844453,1.6609422,-0.7393053,1.0573515,-1.7202773,1.5656039,0.6953058,-0.3710442
88499580d3fffff,2016,0.4954529,1.3270193,-1.8067417,1.57478,0.24837296,0.56456894,-1.7598614,0.43272123,0.5850611,0.3404797,-0.35779494,0.23255149,-1.7372463,0.48103696,-0.080437526,-0.41903558
88499580d3fffff,2017,-1.1881286,0.7516445,-0.04473454,1.53202,-0.59810317,-0.09561509,0.5087651,0.13134253,0.48659274,0.24463505,-0.9182271,0.22994746,-1.0218122,-0.20580979,0.2716658,-1.035685
88499580d3fffff,2018,-0.41974035,0.28513676,-0.03780143,0.51369065,-0.08923453,-0.20881137,-0.5703069,0.620866,-0.25854754,0.62594295,-0.26159376,0.1847961,-1.4626064,0.25081563,-1.1787852,-0.13668488
88499580d3fffff,2019,-0.34080812,0.941355,-0.84285307,1.2354692,0.5151716,-1.0183187,0.111311555,-0.009118208,-0.42888847,0.18738696,0.013766981,0.67404926,-0.970734,-0.063294046,-0.7222338,-0.35762247
88499580d3fffff,2020,-0.5408355,0.6004317,-0.408005,1.0432779,-1.2225438,0.08750532,-1.3520192,1.2976958,-0.6780127,1.7918613,-0.3448795,0.041684125,-0.7679456,-0.2778734,0.45215032,0.11375105
88499580d3fffff,2021,-0.953293,1.5732353,-0.41621333,1.0974835,-0.61450917,-0.7902114,-0.39736202,-0.34447446,-0.5646301,0.40568703,1.6240618,0.7506129,-0.743411,0.17111012,-0.25550428,-0.0028321496
88499580d3fffff,2022,-0.750525,1.3897375,-1.4455857,3.3131557,-1.001395,-0.7371932,-0.5959644,-0.7227103,0.9670271,0.27114907,-0.7416571,0.860173,-0.7440846,-0.7260147,-0.41097325,1.0603347
88499580d3fffff,2023,-0.26722774,0.9619,-2.3679662,1.9434375,0.20465359,-1.2385081,-0.34328783,1.1275196,1.1249753,-1.5698493,-1.1214584,0.17450313,-0.7037448,-0.8313077,-0.08563516,-0.2050552
88499580d3fffff,2024,-0.24888486,1.2226989,-2.3508492,2.2534177,-0.4419698,-1.5858269,0.0016475611,1.8339859,-2.5680823,0.6138666,1.9895228,1.5433068,-1.7172227,0.2698987,0.18908052,-0.5573955
88499580d7fffff,2016,-1.3364815,1.69863,-0.8169289,0.58525616,-1.1573814,0.87560725,0.19749467,-0.014070559,0.5984181,0.5207993,0.63821644,-0.45214176,-2.3872244,1.1731893,0.6990869,0.2233588
88499580d7fffff,2017,-2.0431983,2.778437,-2.3000052,1.6034489,-0.5087413,0.6901102,-0.38103214,-1.4242166,0.8429263,-1.5851879,0.6447662,-1.8527952,-1.4726187,0.1385765,-0.44505987,2.1162975
88499580d7fffff,2018,-0.99487585,-0.6488172,-0.7146875,1.4116079,0.12941144,0.62755215,-0.53370184,-0.36185876,-0.12843943,0.45313358,0.48382217,-0.55940676,-0.8247621,-0.68737024,-0.51460695,0.9825428
88499580d7fffff,2019,-3.0377016,0.22974807,0.06675194,1.0078993,0.51269025,0.8541542,0.2454811,0.53182966,0.16878678,-1.0132945,1.0222698,-0.63175225,-0.9033898,-0.1350405,-1.355341,-0.7844322
88499580d7fffff,2020,-1.6339822,0.048603572,0.10165773,1.6254306,0.46496752,0.15920584,-0.8253467,-0.13265504,-0.7205226,0.20410983,1.0214255,-0.19976532,-0.8241894,-0.09552848,-0.57597077,-1.0579133
88499580d7fffff,2021,-1.1412333,0.38539374,-0.754258,1.762287,-1.8799491,0.37552246,0.5233809,-0.34307116,-0.14736949,0.17759494,-0.21809472,1.4230833,-0.86959016,-0.07902296,-1.2526634,0.9825437
