h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
884995819dfffff,2023,0.048322383,-0.6969447,-0.21945526,1.1878349,-0.65238327,-0.67642766,-0.73981583,-1.3013368
884995819dfffff,2024,1.4670134,-1.2920558,-0.7830683,0.29090586,0.04574994,0.47680733,-0.89824474,-0.92790306
88499581b1fffff,2017,0.9969213,0.2699914,0.39902124,0.8784451,-1.1257367,0.2851192,0.122001015,-0.29431966
88499581b1fffff,2019,-0.5074421,0.38082123,-2.2166727,-0.7195436,-0.36336207,3.114858,-1.5384545,-0.094524674
88499581b1fffff,2020,-0.32776093,0.45330402,0.070361674,-1.9092057,-0.47211316,-1.1960297,-0.39738736,-0.36087653
88499581b1fffff,2021,-1.7213906,0.43556628,-3.044267,-1.842223,0.08920444,-0.9994495,2.1094952,-1.4709855
88499581b1fffff,2022,2.7706974,1.074433,0.53031564,0.45126262,0.2028621,-0.756462,-1.870886,-0.5592327
88499581b1fffff,2023,0.12991124,0.8600059,0.31430075,0.21069506,0.79855704,-1.2339178,-0.3508304,-0.62127227
88499581b1fffff,2024,1.0804596,-0.115050904,-0.7312923,-0.6443573,1.0470887,1.2080685,0.33180457,-0.21098866
88499581b3fffff,2016,2.1346028,-0.17502727,-0.5171285,-1.3295213,-1.2253788,-0.8323369,-3.326585,1.4943769
88499581b3fffff,2018,-0.2989855,1.6521617,0.3359102,-0.5952433,-1.2976857,-0.6821024,-1.0797452,0.2805991
88499581b3fffff,2019,-1.7915889,-0.990071,-0.2951562,-1.6985939,0.87160444,0.9026513,0.28342485,1.4629174
88499581b3fffff,2020,-0.87005204,0.7114369,0.010314796,-0.7541548,-0.3199601,2.6947825,-1.1170369,2.005761
88499581b3fffff,2022,2.8229582,0.7363927,-0.734328,0.529707,1.3582451,-0.5044426,-1.2176163,-1.3867991
88499581b9fffff,2016,0.40416178,-0.94123554,-1.6181326,1.1989582,-1.570089,-1.4725789,-0.30818594,-1.6509411
