h3_8,año_hecho,cluster_km_ae,cluster_km_ae_cos,cluster_km_pca,cluster_km_raw,cluster_hdbscan
8849958455fffff,2021,3,1,0,0,66
8849958455fffff,2022,4,1,4,1,6
8849958455fffff,2023,4,0,4,1,55
8849958455fffff,2024,0,1,4,1,-1
8849958457fffff,2016,4,0,1,4,5
8849958457fffff,2017,0,2,4,1,24
8849958457fffff,2018,3,1,0,0,35
8849958457fffff,2019,0,1,4,1,-1
8849958457fffff,2020,4,0,1,4,46
8849958457fffff,2021,4,2,2,1,-1
8849958457fffff,2022,0,2,1,4,0
8849958457fffff,2023,2,3,2,1,31
8849958457fffff,2024,0,2,4,1,74
8849958459fffff,2018,0,2,4,1,-1
8849958459fffff,2019,0,0,1,4,65
8849958459fffff,2020,4,0,1,4,5
8849958459fffff,2022,3,1,0,0,24
8849958459fffff,2023,2,0,1,4,32
8849958459fffff,2024,4,0,1,4,-1
884995845bfffff,2016,0,2,4,1,-1
884995845bfffff,2017,0,2,4,1,-1
884995845bfffff,2018,0,2,4,1,-1
884995845bfffff,2019,4,0,1,4,-1
884995845bfffff,2020,0,2,1,4,5
884995845bfffff,2021,0,1,4,1,56
884995845bfffff,2022,3,0,1,4,-1
884995845bfffff,2023,3,0,1,4,-1
884995845bfffff,2024,4,0,2,0,19
884995845dfffff,2016,4,2,1,4,-1
884995845dfffff,2017,4,2,4,1,-1
884995845dfffff,2018,4,0,1,4,13
884995845dfffff,2019,4,0,2,2,-1
884995845dfffff,2020,4,0,1,4,38
884995845dfffff,2021,0,2,4,1,73
884995845dfffff,2022,2,3,0,0,-1
884995845dfffff,2023,3,0,1,4,-1
884995845dfffff,2024,3,1,1,4,46
8849958461fffff,2017,2,3,4,1,57
8849958461fffff,2018,3,0,1,4,52
8849958461fffff,2019,2,3,4,1,32
8849958461fffff,2020,4,1,1,4,5
8849958461fffff,2021,0,2,4,1,-1
8849958461fffff,2024,1,2,4,1,4
8849958463fffff,2016,2,3,0,1,-1
8849958463fffff,2017,2,2,4,1,33
8849958463fffff,2018,3,3,0,0,57
8849958463fffff,2019,0,2,4,1,-1
8849958463fffff,2020,0,2,4,1,-1
8849958463fffff,2021,3,1,1,4,47
8849958463fffff,2022,2,3,4,1,-1
8849958463fffff,2023,2,3,4,1,74
8849958463fffff,2024,2,2,4,1,25
8849958465fffff,2016,3,1,1,4,6
8849958465fffff,2017,2,3,4,1,33
8849958465fffff,2018,3,1,0,0,-1
8849958465fffff,2019,4,0,0,4,17
8849958465fffff,2020,0,2,4,1,-1
8849958465fffff,2021,3,1,4,1,60
8849958465fffff,2022,0,0,1,4,6
8849958467fffff,2016,3,1,1,4,24
8849958467fffff,2017,0,2,4,1,56
8849958467fffff,2018,3,1,0,0,-1
8849958467fffff,2019,0,2,4,1,68
8849958467fffff,2020,0,2,4,1,62
8849958467fffff,2021,1,1,0,0,58
8849958467fffff,2022,2,3,4,1,33
8849958467fffff,2023,3,1,0,0,-1
8849958467fffff,2024,0,1,4,1,56
8849958469fffff,2018,4,2,1,4,5
8849958469fffff,2019,0,2,4,1,28
8849958469fffff,2020,0,2,4,1,56
8849958469fffff,2021,0,2,4,1,60
8849958469fffff,2022,1,0,2,2,2
8849958469fffff,2024,4,0,1,4,17
884995846dfffff,2016,1,0,1,4,-1
884995846dfffff,2017,2,3,1,4,-1
884995846dfffff,2018,3,1,0,0,56
884995846dfffff,2019,0,2,4,1,-1
8849958481fffff,2016,4,3,4,1,-1
8849958481fffff,2017,4,2,4,1,5
8849958481fffff,2018,0,2,4,1,69
8849958481fffff,2019,0,2,4,1,24
8849958481fffff,2020,3,0,1,4,73
