h3_8,cluster,lag,lisa_I,lisa_p,lisa_q,lisa_sig,year
884995ba11fffff,3,3.0,0.7157207652536534,0.118,1,0,2024
884995ba15fffff,2,2.0,0.020696684501170168,0.328,1,0,2024
884995ba19fffff,3,3.4000000000000004,0.9533255269165414,0.004,1,1,2024
884995ba1dfffff,4,3.166666666666666,1.4909012746974024,0.012,1,1,2024
884995ba21fffff,0,2.9999999999999996,-1.066314947218006,0.02,2,1,2024
884995ba23fffff,4,2.0,0.22272103769169668,0.404,1,0,2024
884995ba25fffff,3,2.6666666666666665,0.5177167972012466,0.092,1,0,2024
884995ba27fffff,4,3.1666666666666665,1.4909012746974024,0.012,1,1,2024
884995ba29fffff,3,1.8333333333333333,0.02270687707023011,0.47,1,0,2024
884995ba2bfffff,4,1.8333333333333333,0.04155243240516731,0.478,1,0,2024
884995ba2dfffff,0,2.333333333333333,-0.47632342819890633,0.18,2,0,2024
884995ba31fffff,0,0.3333333333333333,1.2936511288583932,0.006,3,1,2024
884995ba33fffff,2,0.8333333333333333,-0.09715085485997034,0.042,4,1,2024
884995ba35fffff,0,2.0,-0.18132766868935637,0.382,2,0,2024
884995ba37fffff,0,1.8333333333333333,-0.03382978893458146,0.448,2,0,2024
884995ba39fffff,0,1.4999999999999998,0.26116597057496854,0.278,3,0,2024
884995ba3bfffff,0,1.0,0.7036596098392934,0.086,3,0,2024
884995ba3dfffff,0,2.0,-0.18132766868935637,0.382,2,0,2024
884995ba41fffff,1,2.833333333333333,-0.4069717845663375,0.026,2,1,2024
884995ba43fffff,2,2.0,0.020696684501170154,0.382,1,0,2024
884995ba45fffff,2,2.666666666666666,0.08803813556467902,0.058,1,0,2024
884995ba47fffff,2,1.6666666666666665,-0.012974041030584272,0.368,4,0,2024
884995ba49fffff,3,3.0,0.7157207652536534,0.02,1,1,2024
884995ba4bfffff,4,1.5,-0.32078477816789147,0.282,4,0,2024
884995ba4dfffff,4,2.8333333333333335,1.1285640641243437,0.05,1,0,2024
884995ba51fffff,3,2.833333333333333,0.6167187812274499,0.056,1,0,2024
884995ba53fffff,3,3.1666666666666665,0.8147227492798566,0.01,1,1,2024
884995ba55fffff,3,2.5,0.4187148131750434,0.13,1,0,2024
884995ba57fffff,4,3.333333333333333,1.6720698799839318,0.002,1,1,2024
884995ba59fffff,4,1.5,-0.32078477816789147,0.282,4,0,2024
884995ba5bfffff,3,2.6666666666666665,0.5177167972012467,0.054,1,0,2024
884995ba5dfffff,0,2.6666666666666665,-0.7713191877084562,0.054,2,0,2024
884995ba61fffff,1,2.333333333333333,-0.21097800908299089,0.146,2,0,2024
884995ba63fffff,4,1.6666666666666665,-0.13961617288136205,0.382,4,0,2024
884995ba65fffff,1,1.8333333333333335,-0.014984233599644299,0.408,2,0,2024
884995ba67fffff,3,1.6666666666666667,-0.07629510695597316,0.382,4,0,2024
884995ba69fffff,4,1.8333333333333335,0.04155243240516738,0.412,1,0,2024
884995ba6bfffff,1,2.5,-0.27630926757743973,0.09,2,0,2024
884995ba6dfffff,1,2.166666666666667,-0.14564675058854198,0.23,2,0,2024
884995ba81fffff,0,1.3333333333333333,0.4086638503297433,0.278,3,0,2024
884995ba83fffff,1,1.3333333333333333,0.18100954188370233,0.374,3,0,2024
884995ba85fffff,1,1.6666666666666665,0.0503470248948046,0.462,3,0,2024
884995ba87fffff,3,1.25,-0.32380006702148145,0.174,4,0,2024
884995ba89fffff,1,1.25,0.21367517113092677,0.272,3,0,2024
884995ba8bfffff,1,0.6666666666666666,0.4423345758614978,0.096,3,0,2024
884995ba8dfffff,1,1.8333333333333333,-0.014984233599644283,0.4,2,0,2024
